Well,CRC Lib #,Formation,Sample Type,GR,ILD,Porosity,HCl Reaction,Avg. Depth,Leco TOC (%),S1 ,S2 ,S3,Tmax (°C),HI,OI,S1+S2,PI
EDUCATED GUESS 11-1H,S505,MWRY,core,114.1287,7.6547,20.72,1,10699.4,1.91,0.24,5.71,0.17,444,299,9,5.95,0.04
EDUCATED GUESS 11-1H,S505,MWRY,core,140.1864,15.8354,18.68,1,10642.7,2.28,0.29,8.05,0.2,441,353,9,8.34,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,201.954,7.3432,20.64,1,10721.5,0.84,0.09,2.02,0.26,442,241,31,2.11,0.04
EDUCATED GUESS 11-1H,S505,MWRY,core,153.5188,14.1312,20.43,1,10628.6,3.07,0.16,10.39,0.27,441,338,9,10.55,0.02
Patrick Walsh Fed.,S601,MWRY,core,111.3751626,6.59123953,6.302167273,1,8239.5,1.47,0.27,1.77,0.21,439,120,14,0.13,
Patrick Walsh Fed.,S601,MWRY,core,111.3751626,6.59123953,6.302167273,1,8239.5,1.47,0.27,1.77,0.21,439,120,14,0.13,
EDUCATED GUESS 11-1H,S505,MWRY,core,120.1014731,47.81801386,15.37,1,11188.1,0.36,0.08,0.52,0.39,450,144,19,0.6,0.13
EDUCATED GUESS 11-1H,S505,MWRY,core,150.8412,5.9067,20.82,1,10613.7,1.86,0.21,4.84,0.26,444,314,19,5.05,0.04
EDUCATED GUESS 11-1H,S505,MWRY,core,140.5272,14.3603,18.23,1,10649.7,2.12,0.24,6.47,0.21,440,305,10,6.71,0.04
EDUCATED GUESS 11-1H,S505,MWRY,core,108.396,10.8237,17.34,1,10582.6,2.56,0.15,10.21,0.15,444,399,6,10.36,0.01
EDUCATED GUESS 11-1H,S505,MWRY,core,156.984,15.5351,19.78,1,10626.8,4.45,0.17,17.86,0.31,440,401,7,18.03,0.01
EDUCATED GUESS 11-1H,S505,MWRY,core,147.6676,12.1941,18.64,1,10653.5,1.93,0.25,6.79,0.23,441,300,12,6.04,0.04
TRC 1,D636,MWRY,core,127.8053146,26.45286186,22.7974065,1,9925.5,41.2,8.59,96.18,0.25,455,233,3,104.77,0.08
EDUCATED GUESS 11-1H,S505,MWRY,core,150.8412,5.9067,19.4,1,10613.7,1.39,0.17,4.36,0.26,444,314,19,4.53,0.04
EDUCATED GUESS 11-1H,S505,MWRY,core,136.5606,16.4522,17.8,1,10647.6,2.14,0.29,6.29,0.17,442,294,8,6.58,0.04
BCATED GUESS 11-1H,S505,MWRY,core,150.7421,13.2941,18.69,1,10619.5,2.63,0.18,9.93,0.31,442,378,12,10.11,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,138.1476,15.3588,20.25,1,10627.7,2.98,0.15,9.82,0.3,441,330,10,9.97,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,141.5187,17.9478,19.65,1,10641.8,2.12,0.24,9.34,0.19,441,426,9,9.56,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,113.0567,7.5325,20.82,1,10695.5,1.86,0.21,4.84,0.22,445,260,12,5.05,0.04
EDUCATED GUESS 11-1H,S505,MWRY,core,157.1885,11.0266,18.21,1,10645.4,2.44,0.23,8.13,0.16,441,333,7,8.36,0.03
EDUCATED GUESS 11-1H,S505,MWRY,core,212.5262,4.1598,19.41,1,10615.5,4,0.12,25.42,0.35,441,586,9,23.54,0.01
EDUCATED GUESS 11-1H,S505,MWRY,core,137.8495,18.5789,18.73,1,10622.7,2.72,0.19,9.66,0.31,442,355,11,9.85,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,158.4774,11.4337,18.88,1,10654.8,1.81,0.22,4.64,0.18,443,256,10,4.86,0.05
Schuster Flats 14-27-47-9,T542,MWRY,core,120.226,33.7,8.88,1,10912.5,2.13,1.09,5.48,0.13,446,0.76,257,6.57,0.17
EDUCATED GUESS 11-1H,S505,MWRY,core,140.5272,14.3603,18.23,1,10649.7,2.12,0.24,6.47,0.21,440,305,10,6.71,0.04
Schuster Flats 14-27-47-9,T542,MWRY,core,120.226,33.7,8.88,1,10912.5,2.13,1.09,5.48,0.13,446,0.76,257,6.57,0.17
EDUCATED GUESS 11-1H,S505,MWRY,core,117.4576,11.1217,18.64,1,10680.7,1.93,0.25,5.79,0.18,443,300,12,6.04,0.04
EDUCATED GUESS 11-1H,S505,MWRY,core,146.2057,13.2941,18.69,1,10316.5,2.63,0.18,9.93,0.07,439,378,12,10.11,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,137.3373,5.4714,17.39,1,10465.2,3.91,0.01,18.11,0.68,442,121,56,18.32,0.01
EDUCATED GUESS 11-1H,S505,MWRY,core,147.8658,12.6851,19.27,1,10634.6,2.81,0.19,18.11,0.19,442,433,7,12.37,0.02
Thunder Creek Fed C-3,S847,MWRY,core,147.6676,12.1941,17.54,1,10653.5,0.11,0.03,0.09,0.23,441,300,12,0.12,0.04
3 FEDERAL,T120,MWRY,core,144.0282205,43.55702053,8.30532782,1,11255.5,1.38,1.64,1.88,0.44,450,136,30,3.52,0.47
EDUCATED GUESS 11-1H,S505,MWRY,core,143.8251,17.4556,19.18,1,10624.7,3.57,0.18,14.74,0.23,441,413,6,14.92,0.01
EDUCATED GUESS 11-1H,S505,MWRY,core,130.1142,23.2934,20.46,1,10604.4,3.59,0.18,16.59,0.28,443,462,8,16.77,0.01
Schuster Flats 14-27-47-9,T542,MWRY,core,166.057,21.73,10.288,1,10883.1,1.65,0.87,3.27,0.08,449,0.78,198,4.14,0.21
Buffalo Gap Federal 35-1,T120,MWRY,core,142.4117,10.9485,8.60279441,1,10571.4,1.28,0.9,1.47,0.3,445,115,20,2.37,0.38
Buffalo Gap Federal 35-1,T120,MWRY,core,132.1872122,51.40554821,10,1,11161.5,2.89,0.99,5.15,0.25,448,178,9,6.14,0.16
Thunder Creek Fed C-3,S847,MWRY,core,199.1262023,19.63277575,9.402213939,1,11183.9,0.5,0.11,0.24,0.1,451,142,9,0.35,0.31
Thunder Creek Fed C-3,S847,MWRY,core,205.5477953,380.2105963,17.02159091,1,8648,0.11,0.03,0.09,0.2,437,82,182,0.12,0.25
Thunder Creek Fed C-3,S847,MWRY,core,135.8768354,311.5157949,11.45697212,1,8638.5,0.5,0.1,0.47,0.15,441,95,30,0.57,0.18
Thunder Creek Fed C-3,S847,MWRY,core,129.4776361,326.2947655,9.402213939,1,8640,0.5,0.11,0.24,0.23,442,48,46,0.35,0.31
Buffalo Gap Federal 35-1,T120,MWRY,core,199.1262023,19.63277575,8.7996089,1,11183.9,1.68,0.66,2.49,0.1,451,142,9,3.15,0.21
Buffalo Gap Federal 35-1,T120,MWRY,core,113.135171,51.70649342,9.7005988,1,11170,1.83,2.94,3.2,0.44,450,175,24,6.14,0.48
DILT 14-26,T322,MWRY,core,31.99191347,4.42934366,10.11964108,1,12674,2.39,1.12,1.56,0.25,455,65,10,2.68,0.42
EDUCATED GUESS 11-1H,S505,MWRY,core,143.8251,17.4556,19.18,1,10624.7,3.57,0.18,14.74,0.23,441,413,6,14.92,0.01
EDUCATED GUESS 11-1H,S505,MWRY,core,150.7421,13.2941,18.69,1,10619.5,2.63,0.18,9.93,0.31,442,378,12,10.11,0.02
EDUCATED GUESS 11-1H,S505,MWRY,core,150.9204687,19.97315504,16.63,1,11235.4,1,1.2,2.7,0.41,451,270,20,3.9,0.31
Buffalo Gap Federal 35-1,T120,MWRY,core,105.0548108,13.8147327,7.60453029,1,9227,1.04,0.72,0.97,0.73,0.11,94,14,1.69,0.23
Buffalo Gap Federal 35-1,T120,MWRY,core,31.99191347,4.42934366,10.5988024,1,12679.5,2.3,2.58,3.59,0.25,458,65,10,6.17,0.42
